SeniorCitizen,PartnerFlag,DependentsFlag,tenure,PhoneServiceFlag,PaperLessBillingFlag,MonthlyCharges,TotalCharges,ChurnFlag,Contract_One year,Contract_Two year,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_Flag,OnlineSecurity_Flag,OnlineBackup_Flag,DeviceProtection_Flag,TechSupport_Flag,StreamingTV_Flag,StreamingMovies_Flag,TotalServices,HighMonthlyChargesFlag,LongTenureFlag,AvgChargesPerMonth,tenure group_13–24,tenure group_25–48,tenure group_49–60,tenure group_61–72
0,1,0,1,0,1,29.85,29.85,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,29.85,FALSE,FALSE,FALSE,FALSE
0,0,0,34,1,0,56.95,1889.5,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,1,55.57352941,FALSE,TRUE,FALSE,FALSE
0,0,0,2,1,1,53.85,108.15,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,54.075,FALSE,FALSE,FALSE,FALSE
0,0,0,45,0,0,42.3,1840.75,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,1,40.90555556,FALSE,TRUE,FALSE,FALSE
0,0,0,2,1,1,70.7,151.65,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,75.825,FALSE,FALSE,FALSE,FALSE
0,0,0,8,1,1,99.65,820.5,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,5,1,0,102.5625,FALSE,FALSE,FALSE,FALSE
0,0,1,22,1,1,89.1,1949.4,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,4,1,0,88.60909091,TRUE,FALSE,FALSE,FALSE
0,0,0,10,0,0,29.75,301.9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,30.19,FALSE,FALSE,FALSE,FALSE
0,1,0,28,1,1,104.8,3046.05,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,6,1,1,108.7875,FALSE,TRUE,FALSE,FALSE
0,0,1,62,1,0,56.15,3487.95,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,56.25725806,FALSE,FALSE,FALSE,TRUE
0,1,1,13,1,1,49.95,587.45,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,45.18846154,TRUE,FALSE,FALSE,FALSE
0,0,0,16,1,0,18.95,326.8,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,20.425,TRUE,FALSE,FALSE,FALSE
0,1,0,58,1,0,100.35,5681.1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,5,1,1,97.95,FALSE,FALSE,TRUE,FALSE
0,0,0,49,1,1,103.7,5036.3,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,6,1,1,102.7816327,FALSE,FALSE,TRUE,FALSE
0,0,0,25,1,1,105.5,2686.05,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,6,1,1,107.442,FALSE,TRUE,FALSE,FALSE
0,1,1,69,1,0,113.25,7895.15,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,8,1,1,114.4224638,FALSE,FALSE,FALSE,TRUE
0,0,0,52,1,0,20.65,1022.95,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,19.67211538,FALSE,FALSE,TRUE,FALSE
0,0,1,71,1,0,106.7,7382.25,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,6,1,1,103.9753521,FALSE,FALSE,FALSE,TRUE
0,1,1,10,1,0,55.2,528.35,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,52.835,FALSE,FALSE,FALSE,FALSE
0,0,0,21,1,1,90.05,1862.9,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,4,1,0,88.70952381,TRUE,FALSE,FALSE,FALSE
1,0,0,1,0,1,39.65,39.65,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,39.65,FALSE,FALSE,FALSE,FALSE
0,1,0,12,1,0,19.8,202.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.85416667,FALSE,FALSE,FALSE,FALSE
0,0,0,1,1,0,20.15,20.15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,20.15,FALSE,FALSE,FALSE,FALSE
0,1,0,58,1,1,59.9,3505.1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,4,0,1,60.43275862,FALSE,FALSE,TRUE,FALSE
0,1,1,49,1,0,59.6,2970.3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,4,0,1,60.61836735,FALSE,FALSE,TRUE,FALSE
0,0,0,30,1,1,55.3,1530.6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,51.02,FALSE,TRUE,FALSE,FALSE
0,1,1,47,1,1,99.35,4749.15,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,5,1,1,101.0457447,FALSE,TRUE,FALSE,FALSE
0,1,1,1,0,0,30.2,30.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,30.2,FALSE,FALSE,FALSE,FALSE
0,1,0,72,1,1,90.25,6369.45,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,8,1,1,88.46458333,FALSE,FALSE,FALSE,TRUE
0,0,1,17,1,1,64.7,1093.1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,64.3,TRUE,FALSE,FALSE,FALSE
1,1,0,71,1,1,96.35,6766.95,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,6,1,1,95.30915493,FALSE,FALSE,FALSE,TRUE
1,1,0,2,1,1,95.5,181.65,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,4,1,0,90.825,FALSE,FALSE,FALSE,FALSE
0,1,1,27,1,0,66.15,1874.45,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,5,0,1,69.42407407,FALSE,TRUE,FALSE,FALSE
0,0,0,1,1,0,20.2,20.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20.2,FALSE,FALSE,FALSE,FALSE
1,0,0,1,1,0,45.25,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45.25,FALSE,FALSE,FALSE,FALSE
0,1,1,72,1,0,99.9,7251.7,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,6,1,1,100.7180556,FALSE,FALSE,FALSE,TRUE
0,0,0,5,1,1,69.7,316.9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,63.38,FALSE,FALSE,FALSE,FALSE
0,0,0,46,1,1,74.8,3548.3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,77.13695652,FALSE,TRUE,FALSE,FALSE
0,0,0,34,1,1,106.35,3549.25,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,6,1,1,104.3897059,FALSE,TRUE,FALSE,FALSE
0,0,0,11,1,1,97.85,1105.4,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,5,1,0,100.4909091,FALSE,FALSE,FALSE,FALSE
0,1,1,10,1,0,49.55,475.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,47.57,FALSE,FALSE,FALSE,FALSE
0,1,1,70,1,1,69.2,4872.35,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,5,0,1,69.605,FALSE,FALSE,FALSE,TRUE
0,1,1,17,1,0,20.75,418.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,24.60294118,TRUE,FALSE,FALSE,FALSE
0,0,0,63,1,1,79.85,4861.45,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,7,0,1,77.16587302,FALSE,FALSE,FALSE,TRUE
0,1,0,13,1,1,76.2,981.45,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,6,0,0,75.49615385,TRUE,FALSE,FALSE,FALSE
0,0,0,49,1,1,84.5,3906.7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3,1,1,79.72857143,FALSE,FALSE,TRUE,FALSE
0,0,0,2,1,0,49.25,97,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,48.5,FALSE,FALSE,FALSE,FALSE
